Depth,AP_T_Ratio
516,0.659685863874346
525,0.822742474916388
532,0.812709030100334
540,0.844884488448845
548,0.831578947368421
557,0.839857651245552
564,0.841216216216216
572,0.851590106007067
580,0.721428571428571
589,0.832191780821918
596,0.892156862745098
605,0.814545454545454
612,0.853242320819113
621,0.856643356643357
628,0.857142857142857
636,0.700636942675159
644,0.88659793814433
653,0.869127516778523
660,0.843949044585987
678,0.79020979020979
685,0.795379537953795
694,0.825082508250825
710,0.895973154362416
717,0.856655290102389
726,0.86159169550173
732,0.921311475409836
742,0.91
749,0.861386138613861
758,0.911262798634812
764,0.884105960264901
774,0.897959183673469
781,0.864951768488746
790,0.892537313432836
796,0.825657894736842
806,0.812056737588653
813,0.84965034965035
822,0.817518248175182
828,0.868852459016393
845,0.865051903114187
854,0.894389438943894
860,0.835016835016835
870,0.819444444444444
877,0.871527777777778
886,0.874149659863945
892,0.89041095890411
902,0.884488448844884
904,0.880794701986755
910,0.911475409836065
914,0.946308724832215
918,0.88673139158576
921,0.931372549019608
924,0.897959183673469
929,0.937704918032787
934,0.895061728395062
938,0.94620253164557
941,0.900332225913621
946,0.942492012779553
950,0.90958904109589
953,0.92604501607717
956,0.926517571884984
961,0.93968253968254
966,0.916666666666667
970,0.923566878980892
973,0.880503144654088
982,0.895569620253164
985,0.920265780730897
988,0.952095808383234
993,0.888524590163934
998,0.867283950617284
1002,0.827464788732394
1014,0.908127208480565
1017,0.777372262773723
1020,0.933753943217666
1025,0.890365448504983
1030,0.881028938906752
1034,0.94314381270903
1037,0.860544217687075
1042,0.915540540540541
1046,0.879310344827586
1049,0.851351351351351
1052,0.90625
1057,0.901960784313726
1062,0.901694915254237
1064,0.933753943217666
1069,0.879213483146067
1074,0.935185185185185
1078,0.887043189368771
1081,0.938144329896907
1084,0.941176470588235
1089,0.888888888888889
1094,0.888888888888889
1098,0.86734693877551
1101,0.890855457227139
1105,0.899350649350649
1110,0.855263157894737
1113,0.907590759075907
1116,0.933753943217666
1120,0.913461538461538
1126,0.908783783783784
1130,0.927083333333333
1133,0.89873417721519
1137,0.904918032786885
1141,0.908196721311475
1146,0.853035143769968
1148,0.89261744966443
1153,0.923780487804878
1158,0.921232876712329
1162,0.862745098039216
1165,0.870662460567823
1170,0.860215053763441
1178,0.925170068027211
1180,0.861386138613861
1185,0.882352941176471
1190,0.880258899676375
1194,0.854304635761589
1197,0.893081761006289
