Depth,Material,LabCode,Delta14,CRA,CRAError,Outlier,Material2
487,Shell (Potamocorbula sp.),KGM-OCa150061,,370,30,FALSE,marine
584,Shell (Potamocorbula sp.),BETA-447816,,1160,30,FALSE,marine
684,Bulk sediments,BETA-447818,−25.4,1980,30,FALSE,marine
750,Bulk sediments,BETA-447819,−23.8,2640,30,FALSE,marine
831,Shell (Lacuna sp.),KGM-OCa150062,,1990,30,TRUE,marine
871,Shell (Lacuna sp.),BETA-447817,,1910,30,TRUE,marine
891,Bulk sediments,BETA-457776,−24.0,2750,30,FALSE,marine
931,Bulk sediments,BETA-457777,−24.5,3700,30,FALSE,marine
970,Bulk sediments,BETA-447820,−24.5,3600,30,FALSE,marine
1051,Bulk sediments,BETA-457779,−26.7,2760,30,FALSE,marine
1105,Bulk sediments,BETA-447821,−25.3,6440,30,FALSE,marine
1111,Bulk sediments,BETA-457778,−25.1,5040,30,FALSE,marine
1184,Wood fragments,KGM-OWd150387,−27.3,5880,40,FALSE,terrestrial
1184,Bulk sediments,BETA-449188,−26.3,6230,30,FALSE,marine
