depth (cm),age (BP),temperature (degC),ageOriginal (BP),Uk37 (unitless),ageMedianBacon (cal years BP)
T2L_SSDP_102_depth,T2L_SSDP_102_age,T2L_SSDP_102_uk37_SST_from_uk37,T2L_SSDP_102_age_original,T2L_SSDP_102_uk37,T2L_SSDP_102_age_medianMedianBacon
2,10,21.5509281122751,10,0.78,194
13,80,21.1816036820877,80,0.767,235
24,160,21.6704739603252,160,0.784,276
35,230,21.8802024732267,230,0.79,322
47,300,21.1593532659874,300,0.767,371
60,340,21.7889874616149,340,0.787,430
72,380,21.4754866974272,380,0.777,481
84,420,22.2144700000493,420,0.801,528
97,460,22.2180693148464,460,0.801,580
104,480,22.0085842519632,480,0.794,614
120,530,21.8867733654151,530,0.79,694
132,560,22.0845037515743,560,0.797,750
144,600,22.1088157250577,600,0.797,805
155,630,22.313341723023,630,0.804,861
160,650,22.2005718437077,650,0.801,888
167,670,22.3159229255777,670,0.804,922
180,710,22.009695925192,710,0.794,986
202,770,21.8808010615546,770,0.79,1089
225,840,22.0999252017271,840,0.797,1205
237,880,22.2179064163872,880,0.801,1264
248,910,21.8648630286995,910,0.79,1312
258,950,22.1034966834866,950,0.797,1362
270,980,22.0153074560927,980,0.794,1425
292,1050,22.3972877260665,1050,0.807,1510
305,1090,22.4009641868895,1090,0.807,1552
318,1130,22.083251199257,1130,0.797,1589
330,1160,21.8675238132366,1160,0.79,1619
342,1200,21.8000918258791,1200,0.787,1646
346,1210,21.7895187739742,1210,0.787,1655
352,1230,21.679464960966,1230,0.784,1667
355,1240,21.9944039065557,1240,0.794,1673
362,1260,21.4780636021464,1260,0.777,1688
368,1280,21.8784636791288,1280,0.79,1701
371,1290,21.5556647955049,1290,0.78,1707
380,1320,21.783856096101,1320,0.787,1728
382,1320,22.091359748871,1320,0.797,1733
392,1350,22.2118137742928,1350,0.801,1757
402,1380,22.0843149950177,1380,0.797,1779
412,1410,21.7804552148751,1410,0.787,1803
422,1460,22.0042799930018,1460,0.794,1842
432,1510,21.6935254851571,1510,0.784,1900
442,1560,21.6720643119159,1560,0.784,1961
452,1600,21.7017456041875,1600,0.784,2022
461,1650,21.5543216191134,1650,0.78,2073
462,1650,21.6877211927383,1650,0.784,2078
472,1700,21.5501884917486,1700,0.78,2132
479,1730,21.7757185913418,1730,0.787,2170
496,1810,21.6835900892963,1810,0.784,2270
509,1880,21.1630584899952,1880,0.767,2342
525,1950,21.3672368709453,1950,0.773,2423
543,2040,21.4619186057016,2040,0.777,2510
577,2200,20.9549133760523,2200,0.76,2678
595,2290,21.0219535189774,2290,0.763,2765
612,2370,21.4753259122757,2370,0.777,2850
642,2510,21.5325961674277,2510,0.78,3003
654,2570,21.3427161693427,2570,0.773,3065
667,2630,22.0137288085731,2630,0.794,3135
685,2720,21.1638881346847,2720,0.767,3236
720,2880,22.0046222650174,2880,0.794,3417
737,2970,20.8294993090088,2970,0.756,3506
749,3020,21.9892465188104,3020,0.794,3564
761,3080,21.6853862319046,3080,0.784,3627
773,3140,21.260216778412,3140,0.77,3689
785,3190,21.2564816832732,3190,0.77,3750
804,3290,21.2558496940522,3290,0.77,3849
832,3420,21.0244760334489,3420,0.763,4001
849,3500,21.5761037484378,3500,0.78,4088
862,3560,21.7841022784356,3560,0.787,4160
874,3620,21.1693316750061,3620,0.767,4225
887,3680,21.4638788488021,3680,0.777,4289
898,3730,21.6778360539409,3730,0.784,4347
910,3790,21.0487084180723,3790,0.763,4408
927,3870,21.4786411577079,3870,0.777,4499
939,3930,21.7942668471355,3930,0.787,4558
955,4010,20.9651248142948,4010,0.76,4648
967,4060,20.7384327506148,4060,0.753,4714
981,4130,21.7570875118541,4130,0.787,4780
997,4210,21.4460526482158,4210,0.777,4856
1019,4310,21.1377199017986,4310,0.767,4968
1035,4390,20.4300896435105,4390,0.743,5030
1050,4460,21.8743039670818,4460,0.79,5095
1066,4540,20.9687956277045,4540,0.76,5168
1082,4610,21.482469842243,4610,0.777,5221
1092,4660,21.1599042372061,4660,0.767,5254
1109,4740,21.7027452515717,4740,0.784,5311
1125,4820,21.1815704169103,4820,0.767,5366
1140,4890,21.4539467821726,4890,0.777,5417
1157,4970,21.8578804958829,4970,0.79,5471
1178,5070,21.8670841229761,5070,0.79,5544
1196,5160,20.93884650214,5160,0.76,5606
1212,5230,21.5604708890133,5230,0.78,5658
1228,5310,21.5605395338621,5310,0.78,5711
1245,5390,22.2515651847807,5390,0.801,5766
1260,5460,21.6842706795546,5460,0.784,5814
1277,5550,21.8770436196168,5550,0.79,5872
1292,5620,21.4643424690556,5620,0.777,5922
1308,5690,21.4719976197792,5690,0.777,5972
1322,5760,21.2535346181997,5760,0.77,6018
1328,5790,21.7782487097402,5790,0.787,6037
1340,5850,21.6923724074018,5850,0.784,6078
1356,5920,21.5455128746637,5920,0.78,6128
1373,6000,21.8803678688931,6000,0.79,6185
1379,6030,21.8958795247274,6030,0.79,6204
1389,6080,21.3567401199862,6080,0.773,6241
1399,6130,21.679345423825,6130,0.784,6295
1401,6140,21.1568932864794,6140,0.767,6306
1414,6230,21.0629226248665,6230,0.763,6379
1429,6360,20.7411864731591,6360,0.753,6459
1432,6390,20.7331515950934,6390,0.753,6475
1439,6450,20.9551731996977,6450,0.76,6532
1447,6520,21.1766365761669,6520,0.767,6606
1467,6690,20.7383593905745,6690,0.753,6779
1489,6880,20.9547645689576,6880,0.76,6960
